name,description,population
Kilika-Psi,"a space ship graveyard, inhabited by outlaws.",6302101
Cardassia-Upsilon,the lush homeworld to a proud warrior race.,2701058
Zanarkand-2,a peaceful world inhabited by industrious people.,8769228
Shulva-Eta,a quaint space station known for delicious food.,9472549
Erd-Phi,a beautiful tropical planet brimming with life.,8016441
Shulva-Psi,a toxic planet whos people have long since fled.,8252115
Romulus-Theta,an aquatic planet. research stations lie below its waves.,2006842
Bruma-3,a storm ravaged world where it always rains.,8640278
Krypton-Omega,a lush forest planet brimming with wildlife.,7345652
Corel-Gamma,a peaceful world inhabited by industrious people.,6527543
Silon-Omega,a technologically advanced world where energy is currency.,3885580
Talara-Lambda,a bustling mining planet rich with natural resources.,2651553
Drangleic-Beta,an ancient planet inhabited by a powerful humanoid species.,6401143
Mideel-4,a prison space station home to the worst of the worst.,6987552
Burmecia-Theta,a dark & noxious planet. deadly spores blanket its surface.,7818073
Balamb-Pi,a frozen tundra planet. blizzards rage continuously.,1687065
Shulva-Delta,the seat of power to a terrible empire.,5706799
Junon-Iota,a storm ravaged world where it always rains.,2579076
Talara-Nu,a world that fell to catastophic climate change.,8329110
Silon-Beta,a frozen tundra planet. blizzards rage continuously.,802633
Elea-Eta,a ruined wartorn planet. civil war has raged for generations.,1608831
Erd-6,the seat of power to a terrible empire.,1781285
Elea-Nu,a peaceful planet with a highly religious population.,9953252
Krypton-3,a small brutal planet where only the strong survive.,2851226
Glaxon-Phi,a massive trading outpost. many species do business here.,7366317
Bleezor-5,the ruined world of a once mighty civilization.,4122690
Erd-4,a lush forest planet brimming with wildlife.,1031587
Nivion-Lambda,"a travelling food ship, it is famous for its Ramen bowls.",2591231
Iotov-Nu,a technologically advanced world where energy is currency.,6552532
Cardassia-Sigma,a mystical planet where beings with strange powers rule.,6259253
Arda-Mu,a small brutal planet where only the strong survive.,5645620
Junon-9,a densely populated planet where everything is scarce.,4300417
Silon-3,a toxic planet whos people have long since fled.,4145
Doth-Epsilon,an ancient planet inhabited by a powerful humanoid species.,8182490
Kepler-Omicron,a densely populated planet where everything is scarce.,7100221
Bruma-Pi,a volcanic planet. much of its surface is covered by magma.,951783
Burmecia-Pi,a bustling mining planet rich with natural resources.,2307638
Nivion-9,a beautiful tropical planet brimming with life.,846521
Drangleic-Chi,an aquatic planet. research stations lie below its waves.,2365523
Cardassia-Phi,an aquatic planet. research stations lie below its waves.,459299
Halcyon-Nu,a ruined wartorn planet. civil war has raged for generations.,902826
Djose-Pi,a small brutal planet where only the strong survive.,740468
Gulug-4,a merchant colony bustling with commerce.,599420
Mora-Eta,a mysterious planet whos inhabitants have long died.,3128032
Romulus-Gamma,a tropical planet where many species seem to vacation.,9511605
Silon-Rho,a lush forest planet brimming with wildlife.,2669196
Wutai-Gamma,a technologically advanced world where energy is currency.,9203702
Doth-Omega,the seat of power to a terrible empire.,5471202
Iotov-Zeta,a densely populated planet where everything is scarce.,8093937
Erd-Delta,a world that fell to catastophic climate change.,8295881
Djose-Eta,a world that fell to catastophic climate change.,8924137
Luca-8,a ruined wartorn planet. civil war has raged for generations.,3800234
Bleezor-2,"a travelling food ship, it is famous for its Ramen bowls.",6879367
Shulva-9,a weapons research station shielded from prying eyes.,2215980
Macalania-Mu,a weapons research station shielded from prying eyes.,8753053
Djose-Sigma,an abandoned mining colony thats now home to space pirates.,6931752
Terra-Alpha,a cloning facility that raises armies for the highest bidders.,9235609
