name,description,population
Elea-Nu,The seat of power to a terrible empire.,7160802
Erus-1,An abandoned mining colony thats now home to space pirates.,7208445
Eleum-Gamma,A bustling mining planet rich with natural resources.,4529272
Halcyon-Epsilon,A lush forest planet brimming with wildlife.,4815471
Balamb-Eta,A toxic planet whos people have long since fled.,8709345
Junon-Gamma,A bustling mining planet rich with natural resources.,1080338
Corel-Lambda,A travelling food ship that is famous for its Ramen bowls.,5869083
Besaid-Alpha,A space ship graveyard inhabited by outlaws.,2928924
Iotov-Tau,An aquatic planet. research stations lie below its waves.,5618388
Doth-Sigma,A space ship graveyard inhabited by outlaws.,7038967
Guadosalam-Beta,A mystical planet where beings with strange powers rule.,2639651
Bevelle-9,An aquatic planet. research stations lie below its waves.,6202592
Iotov-Rho,The seat of power to a terrible empire.,244362
Nuna-Delta,A small brutal planet where only the strong survive.,7353822
Macalania-3,A cloning facility that raises armies for the highest bidders.,7677517
Besaid-6,A cloning facility that raises armies for the highest bidders.,2101598
Silon-1,The seat of power to a terrible empire.,8275415
Doth-Eta,An ancient planet inhabited by a powerful humanoid species.,3349262
Mora-6,A beautiful tropical planet brimming with life.,9365841
Eleum-5,A blue ocean planet. strange vessels glide over its surface.,1210332
Alexandria-Mu,A mystical planet where beings with strange powers rule.,963083
Kilika-6,A beautiful tropical planet brimming with life.,3705088
Arda-Iota,An ancient planet inhabited by a powerful humanoid species.,4709734
Krypton-Gamma,A world that fell to catastophic climate change.,982863
